Changes detected in row 1104. Values changed- Billet Diameter: 0=>0, Alloy: I-718=>I-718, Weight: 0=>0, Weight Type: 0=>0, Spec: B50TF15 CL-E=>B50TF15 CL-E, Yield: 1=1=>1=1, QPE: 1=>1, R/M Type: Seamless=>Seamless, Alloy Family: I718=>I718, Engine Program: Leap-1B=>Leap-1B
Changes detected in row 1105. Values changed- Billet Diameter: 8=>8, Alloy: R41=>R41, Weight: 216.6=>216.6, Weight Type: Yielded=>Yielded, Spec: B50TF110=>B50TF110, Yield: 1=2=>1=2, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: Ni=>Ni, Engine Program: LMS100=>LMS100
Changes detected in row 1106. Values changed- Billet Diameter: 10=>10, Alloy: 718R=>718R, Weight: 494.6=>494.6, Weight Type: 0=>0, Spec: C50TF37=>C50TF37, Yield: 1=1=>1=1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: Ni=>Ni, Engine Program: F110-100=>F110-100
Changes detected in row 1107. Values changed- Billet Diameter: 10=>10, Alloy: 718R=>718R, Weight: 494.6=>494.6, Weight Type: 0=>0, Spec: C50TF37=>C50TF37, Yield: 1=1=>1=1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: Ni=>Ni, Engine Program: F110-100=>F110-100
Changes detected in row 1108. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1.00=>1.00, QPE: =>, R/M Type: Forging_Ring_R=>Forging_Ring_R, Alloy Family: =>, Engine Program: GE90=>GE90
Changes detected in row 1109. Values changed- Billet Diameter: 12=>12, Alloy: 718R=>718R, Weight: 743.0=>743.0, Weight Type: 0=>0, Spec: C50TF37=>C50TF37, Yield: 1=1=>1=1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: Ni=>Ni, Engine Program: F414=>F414
Changes detected in row 1110. Values changed- Billet Diameter: 12=>12, Alloy: 718R=>718R, Weight: 743.0=>743.0, Weight Type: Yielded=>Yielded, Spec: C50TF37=>C50TF37, Yield: 1=1=>1=1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: Ni=>Ni, Engine Program: F414=>F414
Changes detected in row 1111. Values changed- Billet Diameter: 9.5=>9.5, Alloy: R41=>R41, Weight: 440.0=>440.0, Weight Type: 0=>0, Spec: B50TF110=>B50TF110, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: GE90=>GE90
Changes detected in row 1112. Values changed- Billet Diameter: 9.5=>9.5, Alloy: R41=>R41, Weight: 459.0=>459.0, Weight Type: Yielded=>Yielded, Spec: B50TF110=>B50TF110, Yield: 1=1=>1=1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: Ni=>Ni, Engine Program: GE90=>GE90
Changes detected in row 1113. Values changed- Billet Diameter: 9.5=>9.5, Alloy: R41=>R41, Weight: 453.0=>453.0, Weight Type: 0=>0, Spec: B50TF110=>B50TF110, Yield: 1=1=>1=1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: Ni=>Ni, Engine Program: GENX=>GENX
Changes detected in row 1114. Values changed- Billet Diameter: 9.5=>9.5, Alloy: R41=>R41, Weight: 453.0=>453.0, Weight Type: 0=>0, Spec: B50TF110=>B50TF110, Yield: 1=1=>1=1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: Ni=>Ni, Engine Program: GENX=>GENX
Changes detected in row 1115. Values changed- Billet Diameter: Ingot=>Ingot, Alloy: 718+=>718+, Weight: "3,091.0"=>"3,091.0", Weight Type: 0=>0, Spec: B50TF317=>B50TF317, Yield: 1=1=>1=1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: Ni 718+=>Ni 718+, Engine Program: GE90=>GE90
Changes detected in row 1117. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type:  Forging_Closed_Die_F => Forging_Closed_Die_F , Alloy Family: 0=>0, Engine Program: GE-PASSPORT=>GE-PASSPORT
Changes detected in row 1122. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: 0=>0, Engine Program: =>
Changes detected in row 1124. Values changed- Billet Diameter:  10.00 => 10.00 , Alloy: 718=>718, Weight: 354.0=>354.0, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield:  1 = 1=> 1 = 1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: 0=>0, Engine Program: CFM56-5B/5C/7=>CFM56-5B/5C/7
Changes detected in row 1125. Values changed- Billet Diameter:  10.00 => 10.00 , Alloy: 718=>718, Weight: 354.0=>354.0, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield:  1 = 1=> 1 = 1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: 0=>0, Engine Program: CFM56-5B/5C/7=>CFM56-5B/5C/7
Changes detected in row 1126. Values changed- Billet Diameter: 0=>0, Alloy: R-41=>R-41, Weight: 0=>0, Weight Type: 0=>0, Spec: B50TF110 CL-D=>B50TF110 CL-D, Yield: #N/A=>#N/A, QPE: 1=>1, R/M Type: Seamless=>Seamless, Alloy Family: R41=>R41, Engine Program: Leap-1B=>Leap-1B
Changes detected in row 1127. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: #N/A=>#N/A, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF34=>CF34
Changes detected in row 1133. Values changed- Billet Diameter:  6.00 => 6.00 , Alloy: 347=>347, Weight: 49.0=>49.0, Weight Type: 0=>0, Spec: AMS 5646=>AMS 5646, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: FII0-129=>FII0-129
Changes detected in row 1141. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 51.4=>51.4, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1142. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 51.4=>51.4, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1143. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 48.6=>48.6, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1144. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 48.6=>48.6, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1148. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 49.2=>49.2, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1149. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 46.4=>46.4, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1150. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 49.2=>49.2, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1151. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 46.4=>46.4, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1152. Values changed- Billet Diameter:  6.00 => 6.00 , Alloy: 6-4=>6-4, Weight: 39.7=>39.7, Weight Type: 0=>0, Spec: AMS 4928=>AMS 4928, Yield:  1 = 1 (36)=> 1 = 1 (36), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: F414=>F414
Changes detected in row 1153. Values changed- Billet Diameter:  6.00 => 6.00 , Alloy: 6-4=>6-4, Weight: 39.7=>39.7, Weight Type: 0=>0, Spec: AMS 4928=>AMS 4928, Yield:  1 = 1 (36)=> 1 = 1 (36), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: F414=>F414
Changes detected in row 1156. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=16=>1=16, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: LM2500=>LM2500
Changes detected in row 1157. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=16=>1=16, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: LM2500=>LM2500
Changes detected in row 1158. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 53.0=>53.0, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1160. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 48.6=>48.6, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1161. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 51.4=>51.4, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1163. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 53.0=>53.0, Weight Type: 0=>0, Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1167. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=3=>1=3, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: 0=>0, Engine Program: GE90=>GE90
Changes detected in row 1168. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: 0=>0, Engine Program: T700=>T700
Changes detected in row 1169. Values changed- Billet Diameter:  9.25 => 9.25 , Alloy: 7050=>7050, Weight: 67.2=>67.2, Weight Type: 0=>0, Spec: AMS 4108=>AMS 4108, Yield:  1 = 1=> 1 = 1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF34-10=>CF34-10
Changes detected in row 1171. Values changed- Billet Diameter: 0=>0, Alloy: I-718=>I-718, Weight: 0=>0, Weight Type: 0=>0, Spec: C50TF128 CL-A=>C50TF128 CL-A, Yield: 1=1=>1=1, QPE: 1=>1, R/M Type: Seamless=>Seamless, Alloy Family: 718+=>718+, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1172. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: 0=>0, Engine Program: Leap-1A/C=>Leap-1A/C
Changes detected in row 1173. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: 0=>0, Engine Program: Leap-1A/C=>Leap-1A/C
Changes detected in row 1174. Values changed- Billet Diameter: 0=>0, Alloy: I-718=>I-718, Weight: 0=>0, Weight Type: 0=>0, Spec: B50TF317 CL-A=>B50TF317 CL-A, Yield: 1=1=>1=1, QPE: 1=>1, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: 718+=>718+, Engine Program: Leap-1B=>Leap-1B
Changes detected in row 1175. Values changed- Billet Diameter: 0=>0, Alloy: 718+=>718+, Weight: 0=>0, Weight Type: 0=>0, Spec: B50TF317 CL-A=>B50TF317 CL-A, Yield: 1=1=>1=1, QPE: 1=>1, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: 718+=>718+, Engine Program: Leap-1B=>Leap-1B
Changes detected in row 1176. Values changed- Billet Diameter: 0=>0, Alloy: GTD222=>GTD222, Weight: 0=>0, Weight Type: 0=>0, Spec: B50TF279 CL-C=>B50TF279 CL-C, Yield: 1=1=>1=1, QPE: 1=>1, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: GTD222=>GTD222, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1177. Values changed- Billet Diameter: 0=>0, Alloy: GTD222=>GTD222, Weight: 0=>0, Weight Type: 0=>0, Spec: B50TF279 CL-C=>B50TF279 CL-C, Yield: 1=1=>1=1, QPE: 1=>1, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: GTD222=>GTD222, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1183. Values changed- Billet Diameter: 0=>0, Alloy: 718+=>718+, Weight: 0=>0, Weight Type: 0=>0, Spec: C50TF128 CL-A=>C50TF128 CL-A, Yield: 1=1=>1=1, QPE: 1=>1, R/M Type: Seamless=>Seamless, Alloy Family: 718+=>718+, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1185. Values changed- Billet Diameter:  4.00 => 4.00 , Alloy: 6-4=>6-4, Weight: 10.9=>10.9, Weight Type: 0=>0, Spec: AMS 4928=>AMS 4928, Yield:  1 = 1=> 1 = 1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: F110=>F110
Changes detected in row 1186. Values changed- Billet Diameter:  6.00 => 6.00 , Alloy: 6-4=>6-4, Weight: 33.5=>33.5, Weight Type: 0=>0, Spec: AMS 4928=>AMS 4928, Yield:  1 = 1=> 1 = 1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: F404/LM1600=>F404/LM1600
Changes detected in row 1189. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 48.6=>48.6, Weight Type: Gr.=>Gr., Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1190. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 51.4=>51.4, Weight Type: Gr.=>Gr., Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1192. Values changed- Billet Diameter: 0=>0, Alloy: L-605=>L-605, Weight: 28.5=>28.5, Weight Type: Bar=>Bar, Spec: 0=>0, Yield: 1=7=>1=7, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: 0=>0, Engine Program: CFM56-5/-7=>CFM56-5/-7
Changes detected in row 1193. Values changed- Billet Diameter:  13.00 => 13.00 , Alloy: 7050=>7050, Weight: 316.0=>316.0, Weight Type: 0=>0, Spec: AMS 4108=>AMS 4108, Yield:  1 = 1=> 1 = 1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: GENX=>GENX
Changes detected in row 1196. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 49.2=>49.2, Weight Type: Gr.=>Gr., Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1197. Values changed- Billet Diameter:  7.25 => 7.25 , Alloy: 2219=>2219, Weight: 46.4=>46.4, Weight Type: Gr.=>Gr., Spec: AMS 4143=>AMS 4143, Yield:  1 = 1 (12)=> 1 = 1 (12), QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CF6/LM2500=>CF6/LM2500
Changes detected in row 1198. Values changed- Billet Diameter:  19.50 => 19.50 , Alloy: 7050=>7050, Weight: 893.1=>893.1, Weight Type: 0=>0, Spec: AMS 4108=>AMS 4108, Yield:  1 = 1=> 1 = 1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: GE90-115B=>GE90-115B
Changes detected in row 1199. Values changed- Billet Diameter:  19.50 => 19.50 , Alloy: 7050=>7050, Weight: 893.1=>893.1, Weight Type: 0=>0, Spec: AMS 4108=>AMS 4108, Yield:  1 = 1=> 1 = 1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: GE90-115B=>GE90-115B
Changes detected in row 1202. Values changed- Billet Diameter:  8.00 => 8.00 , Alloy: 718=>718, Weight: 98.7=>98.7, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield:  1 = 1=> 1 = 1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: 0=>0, Engine Program: CFM56=>CFM56
Changes detected in row 1207. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: 0=>0, Engine Program: "CF34, TF34"=>"CF34, TF34"
Changes detected in row 1211. Values changed- Billet Diameter: 6=>6, Alloy: 718=>718, Weight: 40.5=>40.5, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Seamless=>Seamless, Alloy Family: Ni=>Ni, Engine Program: TF34=>TF34
Changes detected in row 1214. Values changed- Billet Diameter: 0=>0, Alloy: 17-4PH=>17-4PH, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 5643 or AMS 5604 (H1150 HT Cond.)=>AMS 5643 or AMS 5604 (H1150 HT Cond.), Yield: =>, QPE: 1=>1, R/M Type: Seamless=>Seamless, Alloy Family: 17-4PH=>17-4PH, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1215. Values changed- Billet Diameter: 0=>0, Alloy: 17-4PH=>17-4PH, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 5643 or AMS 5604 (H1150 HT Cond.)=>AMS 5643 or AMS 5604 (H1150 HT Cond.), Yield: =>, QPE: 1=>1, R/M Type: Seamless=>Seamless, Alloy Family: 17-4PH=>17-4PH, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1216. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4132=>AMS 4132, Yield: =>, QPE: 1=>1, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1217. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4143 or AMS 4144 or AMS 4162=>AMS 4143 or AMS 4144 or AMS 4162, Yield: =>, QPE: 2=>2, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1218. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4143 or AMS 4144 or AMS 4163=>AMS 4143 or AMS 4144 or AMS 4163, Yield: =>, QPE: 3=>3, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1219. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4143 or AMS 4144 or AMS 4164=>AMS 4143 or AMS 4144 or AMS 4164, Yield: =>, QPE: 2=>2, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1220. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4143 or AMS 4144 or AMS 4165=>AMS 4143 or AMS 4144 or AMS 4165, Yield: =>, QPE: 3=>3, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1225. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4143 or AMS 4144 or AMS 4166=>AMS 4143 or AMS 4144 or AMS 4166, Yield: =>, QPE: 2=>2, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1226. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4143 or AMS 4144 or AMS 4167=>AMS 4143 or AMS 4144 or AMS 4167, Yield: =>, QPE: 3=>3, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1227. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4143 or AMS 4144 or AMS 4168=>AMS 4143 or AMS 4144 or AMS 4168, Yield: =>, QPE: 2=>2, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1228. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4143 or AMS 4144 or AMS 4169=>AMS 4143 or AMS 4144 or AMS 4169, Yield: =>, QPE: 3=>3, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1232. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4143 or AMS 4144 or AMS 4170=>AMS 4143 or AMS 4144 or AMS 4170, Yield: =>, QPE: 1=>1, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1233. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4143 or AMS 4144 or AMS 4171=>AMS 4143 or AMS 4144 or AMS 4171, Yield: =>, QPE: 5=>5, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1234. Values changed- Billet Diameter: 0=>0, Alloy: Al=>Al, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 4143 or AMS 4144 or AMS 4172=>AMS 4143 or AMS 4144 or AMS 4172, Yield: =>, QPE: 6=>6, R/M Type: Seamless=>Seamless, Alloy Family: Al=>Al, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1239. Values changed- Billet Diameter: 0=>0, Alloy: 17-4PH=>17-4PH, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.)=>AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.), Yield: =>, QPE: 2=>2, R/M Type: Seamless=>Seamless, Alloy Family: 17-4PH=>17-4PH, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1240. Values changed- Billet Diameter: 0=>0, Alloy: 17-4PH=>17-4PH, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.)=>AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.), Yield: =>, QPE: 4=>4, R/M Type: Seamless=>Seamless, Alloy Family: 17-4PH=>17-4PH, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1241. Values changed- Billet Diameter: 0=>0, Alloy: 17-4PH=>17-4PH, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.)=>AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.), Yield: =>, QPE: 5=>5, R/M Type: Seamless=>Seamless, Alloy Family: 17-4PH=>17-4PH, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 1242. Values changed- Billet Diameter: 0=>0, Alloy: 17-4PH=>17-4PH, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.)=>AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.), Yield: =>, QPE: 1=>1, R/M Type: Seamless=>Seamless, Alloy Family: 17-4PH=>17-4PH, Engine Program: LEAP A/C=>LEAP A/C
