PART NUMBER,E/P,Alloy,Spec,Size,Gr. Wt.,Mults ,Yields,2014 Price,2015 price
4013382-989 P02,GE90-115B,718,B50TF15, 14.00 ,1811.0,1, 1 = 1,"31,657","31,024"
4013388-847 P01 (L38473 P01),LM7000,718 T,C50TF104  , 10.00 ,627.0,2, 1 = 1,"8,440","8,271"
4013401-715 P01 (9081M45),LM5000/CF6-50,6-4 CH,C50TF12 I, 8.00 ,66.3,1, 1 = 1,"6,827","6,690"
4013403-061 P01 (4013382-585 P01),CF6,718,B50TF15, 10.00 ,327.0,1, 1 = 1,"8,272","8,107"
4013428-351 P02 (4005M36 G01),GE90 Base,2219,AMS 4144 , 23.50 ,577.6,1, 1 = 1,"3,415","3,347"
4013428-448 P03,GE90 Base,718,B50TF15, 12.00 ,1562.0,1, 1 = 1,"27,145","26,602"
4013431-062 P04,GE90 BASE/115,R41,B50TF110, 9.50 ,707.0,1, 1 = 1,"18,724","18,350"
4013431-096 P05 (1709M17 P06) ,GE90 BASE/115,718 T,C50TF104  , 10.00 ,402.9,5, 1 = 1,"3,819","3,743"
4013436-821 P01 (2082M19 G01),GE90-115B,Wasp P,C50TF90, 12.00 ,1500.0,1, 1 = 1,"40,598","39,786"
4013437-088 P05,GE90 Base,718,B50TF15, 8.00 ,210.7,1, 1 = 1,"6,224","6,100"
4013437-156 P03,GE90 Base,718,B50TF15, 8.00 ,258.7,1, 1 = 1,"7,821","7,665"
4013471-531 P01 (replaces 4013436-821),GE90-115B,Wasp P,C50TF90, 12.00 ,1269.0,1, 1 = 1,"37,367","36,620"
4013510-100 P01,GENX,6-4,AMS 4928, 10.00 ,189.0,1, 1 = 1,"8,003","7,843"
4013522-245 P01,CF6-80C,718 T,C50TF103, 6.00 ,72.4,2, 1 = 1,867,850
4013522-246 (9977013-881 / 1784M76 / 42769903),CFM56,718 P,C50TF37, 10.00 ,483.2,1, 1 = 1,"9,684","9,490"
4013522-264 P01 (L47064),LM6000,718,B50TF15, 12.00 ,558.0,1, 1 = 1,"10,434","10,225"
4013522-266 P01,LM6000,321,AMS 5645, 12.00 ,672.0,5, 1 = 1,895,877
4013522-312 P01 (2072M47 G03),CF34-10,718,B50TF15, 6.00 ,66.6,1, 1 = 1,"1,359","1,332"
4013522-313 P01 (2072M50 P01),CF34-10,718 P,C50TF37, 8.00 ,232.7,1, 1 = 1,"4,835","4,738"
4013522-318 P01 (2070M44),CF34-10,909,C50TF95, 8.00 ,144.7,1, 1 = 1,"3,612","3,540"
4013522-341 P01,F110-SLEP,718,B50TF15, 8.00 ,182.7,1, 1 = 1,"6,055","5,934"
4013522-346 P01 (1963M30 G01),GE90 BASE/115,718,B50TF15, 6.00 ,128.0,1, 1 = 1,"3,505","3,435"
4013522-349 P01 (1962M77 P01),GE90 BASE/115,718,B50TF15, 6.00 ,133.1,1, 1 = 1,"2,507","2,457"
4013522-350 P01 (5099T20 P02),CF34-8,718,B50TF15, 8.00 ,173.7,4, 1 = 1,846,829
4013522-356 P01 (bieng replaced by 2102M70),GE90 BASE/115,6-4,AMS 4928, 14.00 ,550.5,3, 1 = 1,"6,986","6,846"
4013522-373 P01,LM1600,718 T ,C50TF104  , 10.00 ,582.2,6, 1 = 1,"2,630","2,577"
4013522-872 P01,CFM56-5,2618,AMS 4132, 7.25 ,30.5,1, 1 = 1,372,365
4013522-873 P01,CFM56-5,2618,AMS 4132, 9.25 ,143.7,1, 1 = 1,"1,154","1,132"
4013536-247 P01,GENX,6-4,AMS 4928, 12.00 ,835.8,1, 1 = 1,"27,748","27,193"
4013536-251 P01 (2303M17 P02 ),GENX,GTD222,B50TF279, 8.00 ,169.8,2, 1 = 1,"3,754","3,679"
4013536-261 P01 (replaced by 2264M85),GENX,7075,AMS 4311, 23.50 ,1282.4,1, 1 = 1,"4,766","4,671"
4013536-288 P01,GENX,6-4,AMS 4928, 14.00 ,403.5,2, 1 = 1,"5,608","5,496"
4013536-337 P01 (2337M23) (F0101-385B),GENX,6-4,AMS 4928, 10.00 ,263.3,2, 1 = 1,"6,278","6,152"
4013537-165 P01 (2060M87),GP7200,GTD222,B50TF279,6.00,113,3, 1 = 1,"1,780","1,744"
4013537-166 P01 (2060M87),GP7200,783,AMS 5940,8.00,125,2, 1 = 1,"2,531","2,480"
4013542-801 P01 (L56805),LMS100,R41,B50TF75, 9.50 ,1396.1,1, 1 = 1 (13),"48,139","47,176"
4013542-802 P01 (L56806),LMS100,R41,B50TF75 , 9.50 ," 1,533 ",1, 1 = 1 (13),"48,136","47,173"
4013542-812 P01,LMS100,718,B50TF15, 16.00 ," 1,902 ",1, 1 = 1,"62,076","60,834"
4013571-559 P01,JSF,718,B50TF15, 12.00 ," 1,148 ",1, 1 = 1,"30,207","29,603"
4013581-951P02 (1878M71),GE90-94B,GTD222,B50TF279,8.00,310,1, 1 = 1,"22,714","22,260"
4014M13 G01,CFM56,2219,AMS 4143, 14.50 ,120.0,1, 1 = 1,515,505
4017T37 P02,T58,AM355,C50TF53, 4.00 ,37.8,1, 1 = 1 (6),541,530
4022T37 P01 (4011T37 P01),T64,Wasp P,C50TF90, 6.00 ,108.1,3, 1 = 1,"1,175","1,152"
4028T43 P02,CF34/TF34,6-2-4-2,AMS 4976, 2.25 ,6.6,1, 1 = 1,"1,578","1,546"
4028T65 P02,CF34/TF34,6-4,AMS 4928, 2.75 ,11.1,2, 1 = 1,614,602
40309902 (9977013-189 P04),CFM2-3,718 P,C50TF37, 10.00 ,542.0,1, 1 = 1,"11,258","11,033"
4049T02 P01,,718 T,C50TF103, 4.50 ,64.6,1, 1 = 1,"5,389","5,281"
4060T96 P02 (5023T67 / 5023T59 / 1934T24),CF34/TF34,718 T,C50TF103, 8.00 ,107.7,1, 1 = 1 (4),"2,424","2,376"
4060T96 P04 (5023T64 / 1934T24),CF34/TF34,718 T,C50TF103, 8.00 ,91.7,1, 1 = 1 (4),"2,298","2,252"
4063T78 P01,F404,718,B50TF15, 4.00 ,18.4,2, 1 = 1,465,456
4096521-114 P01,CF34-10,718,B50TF15, 6.00 ,46.6,1, 1 = 1 (3),"1,380","1,352"
4096694-414,CFM56,718,B50TF15, 6.00 ,54.6,2, 1 = 1,618,606
4126T26 P06-F, ,6061,AMS 4127, 19.50 ,804.9,2, 1 = 1,"2,057","2,016"
4150T31 P01,CF34-3B,6061,AMS 4127, 13.00 ,353.8,1, 1 = 1,"1,593","1,561"
42789905 (1873M75)(see F0101-396B),CFM56-5B/5C/7,718,B50TF15, 10.00 ,354.0,1, 1 = 1,,
42999904 (9977013-500 P01 / 1864M52),F110,718,B50TF15, 10.00 ,314.0,1, 1 = 1,"8,454","8,285"
44469901 (5109T60 G03),F414,625,AMS 5666, 8.00 ,247.8,1, 1 = 1,"6,108","5,986"
44469903 (5109T60 G03) (light weight version),F414,625,AMS 5666, 8.00 ,178.8,1, 1 = 1,"5,554","5,443"
5014T20 P02 (9899556-631 P01),T58,AM355,C50TF53, 4.00 ,26.4,1, 1 = 1,420,412
5016T95 P06,T58,AM355,C50TF53, 4.00 ,15.4,1, 1 = 1,427,418
5031T94 P01,F404/LM1600,6-4,AMS 4928, 6.00 ,33.5,5, 1 = 1,407,399
5036T93 G03,T700,321,AMS 5645, 4.00 ,44.2,2, 1 = 1 (3),174,171
5066T76P02,,H X,B50TF31,4.00,29,1, 1 = 1,"1,329","1,302"
5079T48 P04 (5042T29),CF34/LM500,718 T,C50TF103, 6.00 ,146.5,1, 1 = 1,"2,934","2,875"
5079T48 P06 (4027T15),CF34/LM500,718 T,C50TF103, 6.00 ,132.1,1, 1 = 1,"3,155","3,092"
5087T68 P02,CF34-3/8,6-4 CH,C50TF12 H, 6.00 ,19.5,1, 1 = 1,"1,284","1,258"
5100T46 P01,F414,6-4,AMS 4928, 8.00 ,112.8,1, 1 = 1 (18),"4,905","4,810"
5102T29 P02,F414,6-4,AMS 4928, 6.00 ,47.8,2, 1 = 1,"2,784","2,728"
5102T68 G02,F414,6-4,AMS 4928, 12.00 ,279.0,2, 1 = 1,"4,766","4,671"
