ID ,Finished Part Number ,QPE ,Forging Part Number ,Nomenclature ,"Finished Part L (+.010 Tol.) ","Finished Part ID (-.005 Tol.) ",Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,Drawing/Contour ,Current Supplier ,Current Price ,Winning Supplier ,,,Supplier Win % ,Updated percentages,2016 Price ,2017 Price ,YOY ,Mat. Type,VSE Intiated,VSE Phase ,Supplier Commit ,Shape Completed,Machining Supplier ,Machine Supplier % ,Change,Indirect PA,EP,,Old %,,New %,,notes
22,2468M84G02,1,2468M84G02.002R,CASE,0.956,17.2626,19.507,I718,B50TF15 CL-E,,Carlton Forge,"$1,403.00",Alcoa China,,,80,75,$706,$671 ,5%,I718,,,,,GE Suzhou ,50%,Alcoa 50%,,LEAP A/C,,,,,,
40,2474M25G03,1,2474M25G03.002R,"RING,ACTG",0.48,20.295,21.345,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Firth ,$132.80,GATD,0.4,0.5,40,50,$94,$89 ,5%,17-4PH,,,,,Sam Suzhou,50%,GATD 50%,,LEAP A/C,110,37.6," $4,136.00 ",$47.00 ,"$5,170.00 ",
22,2468M84G02,1,2468M84G02.002R,,0.956,17.2626,19.507,I718,B50TF15 CL-E,,,,,,,,,,$0 ,5%,,,,,,Samsung ,25%,GATD 25%,,,,,,,,
23,2468M85G01,1,2468M85G01.002R,"CASE, HPC",2.091,17.1309,19.39,I718,B50TF15 CL-E,,Alcoa Rancho Cucamonga,"$1,916.00",Alcoa China,,,80,75,"$1,110","$1,055 ",5%,I718,,,,,GE Suzhou ,50%,Alcoa 50%,,LEAP A/C,,,,,,
34,2474M24G01,1,2474M24G01.002R,"RING,ACTG,STG 1 UPPER",0.48,21.429,22.479,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Firth,$143.20,GATD,0.4,0.5,40,50,$96,$91 ,5%,17-4PH,,,,,Sam Suzhou,50%,GATD 50%,,LEAP A/C,110,38.4," $4,224.00 ",$48.00 ,"$5,280.00 ",
23,2468M85G01,1,2468M85G01.002R,,2.091,17.1309,19.39,I718,B50TF15 CL-E,,,,,,,,,,$0 ,5%,,,,,,Samsung ,25%,GATD 25%,,,,,,,,
37,2474M24G04,1,2474M24G04.002R,"RING,ACTG,STG 1 UPPER",0.48,20.903,21.953,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Alcoa Rochester,$134.00,GATD,0.4,0.5,40,50,$96,$91 ,5%,17-4PH,,,,,Sam Suzhou,50%,GATD 50%,,LEAP A/C,110,38.4," $4,224.00 ",$48.00 ,"$5,280.00 ",
24,2474M19G01,1,2474M19G01.002R,IGVRING LOWER,0.51,22.685,23.695,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$329.00,Alcoa China,,,60,50,$258,$245 ,5%,Ti 6-4,,,,,Sam Suzhou,50%,GATD 50%,,Leap-1B,,,,,,
25,2474M21G01,1,2474M21G01.002R,"RING, SEG, IGV",0.51,22.685,23.695,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$329.00,Alcoa China,,,60,50,$250,$238 ,5%,Ti 6-4,,,,,B&F ,50%,Alcoa 50%,,Leap-1B,,,,,,
41,2474M25G04,1,2474M25G04.002R,"RING,ACTG",0.48,20.903,21.953,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Firth ,$134.70,GATD,0.4,0.5,40,50,$96,$91 ,5%,17-4PH,,,,,Sam Suzhou,50%,GATD 50%,,LEAP A/C,110,38.4," $4,224.00 ",$48.00 ,"$5,280.00 ",
26,2474M22G01,1,2474M22G01.002R,"RING, SEG, STG 1",0.51,20.853,21.863,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$314.86,Alcoa China,,,60,50,$236,$224 ,5%,Ti 6-4,,,,,B&F ,50%,Alcoa 50%,,Leap-1B,,,,,,
35,2474M24G02,1,2474M24G02.002R,"RING,ACTG,STG 1 UPPER",0.48,20.631,21.721,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Firth ,$135.90,GATD,0.4,0.5,40,50,$97,$92 ,5%,17-4PH,,,,,Sam Suzhou,50%,GATD 50%,,LEAP A/C,110,38.8," $4,268.00 ",$48.50 ,"$5,335.00 ",
27,2474M22G02,1,2474M22G02.002R,"RING, SEG, STG2",0.51,20.115,21.125,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$325.29,Alcoa China,,,60,50,$230,$219 ,5%,Ti 6-4,,,,,B&F ,50%,Alcoa 50%,,Leap-1B,,,,,,
39,2474M25G02,1,2474M25G02.002R,"RING,ACTG,STG 1 LOWER",0.48,20.631,21.721,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Alcoa Rochester,$135.90,GATD,0.4,0.5,40,50,$97,$92 ,5%,17-4PH,,,,,Sam Suzhou,50%,GATD 50%,,LEAP A/C,110,38.8," $4,268.00 ",$48.50 ,"$5,335.00 ",
28,2474M22G03,1,2474M22G03.002R,"RING, SEG, STG 3",0.51,19.755,20.765,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$304.00,Alcoa China,,,60,50,$230,$219 ,5%,Ti 6-4,,,,,B&F ,50%,Alcoa 50%,,Leap-1B,,,,,,
38,2474M25G01,1,2474M25G01.002R,"RING,ACTG,STG 1 LOWER",0.48,21.429,22.479,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Alcoa Rochester,$143.20,GATD,0.4,0.5,40,50,$98,$93 ,5%,17-4PH,,,,,Sam Suzhou,50%,GATD 50%,,LEAP A/C,110,39.2," $4,312.00 ",$49.00 ,"$5,390.00 ",
134,2552M34P01,2,2552M34P01.000R,"SHROUD, COMPRESSOR STATOR- STAGE 4",1.046,14.045,15.0063,17-4 PH,"AMS 5643 or AMS 5604",,BAR,$222.20,GATD,0.7,0.5,70,50,$102,$97 ,5%,17-4PH,,,,,PCC WB ,50%,Alcoa 50%,,Leap-1B,40,71.4," $2,856.00 ",$51.00 ,"$2,040.00 ",
29,2474M22G04,1,2474M22G04.002R,"RING, SEG, STG 4",0.51,20.375,21.385,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$312.00,Alcoa China,,,60,50,$233,$221 ,5%,Ti 6-4,,,,,Sam Suzhou,50%,GATD 50%,,Leap-1B,,,,,,
30,2474M23G01,1,2474M23G01.002R,"RING, SEG, STG 1",0.51,20.853,21.863,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$314.86,Alcoa China,,,60,60,$237,$225 ,5%,Ti 6-4,,,,,Sam Suzhou,50%,GATD 40% Alcoa 10%,,Leap-1B,,,,,,
17,2463M44P05,2,2463M44P05.000R,"SHRD,CMSTR-S4",1.046,13.981,15.129,17-4PH,AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.),,Carlton Forge,$238.75,GATD,0.7,0.5,70,50,$104,$99 ,5%,17-4PH,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,110,72.8," $8,008.00 ",$52.00 ,"$5,720.00 ",
31,2474M23G02,1,2474M23G02.002R,"RING, SEG, STG2",0.51,20.115,21.125,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$325.29,Alcoa China,,,60,50,$230,$219 ,5%,Ti 6-4,,,,,B&F ,50%,Alcoa 50%,,Leap-1B,,,,,,
18,2463M44P06,4,2463M44P06.000R,"SHRD,CMSTR-S4",1.046,13.981,15.129,17-4PH,AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.),,Carlton Forge,$238.75,GATD,0.7,0.5,70,50,$104,$99 ,5%,17-4PH,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,72.8," $8,008.00 ",$52.00 ,"$5,720.00 ",
32,2474M23G03,1,2474M23G03.002R,"RING, SEG, STG 3",0.51,19.755,20.765,Ti 6-4,AMS 4911 or AMS 4928,,Firth ,$304.00,Alcoa China,,,60,50,$230,$219 ,5%,Ti 6-4,,,,,B&F ,50%,Alcoa 50%,,Leap-1B,,,,,,
19,2463M44P07,5,2463M44P07.000R,"SHRD,CMSTR-S4",1.046,13.981,15.129,17-4PH,AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.),,Carlton Forge,$238.75,GATD,0.7,0.5,70,50,$104,$99 ,5%,17-4PH,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,72.8," $8,008.00 ",$52.00 ,"$5,720.00 ",
33,2474M23G04,1,2474M23G04.002R,"RING, SEG, STG 4",0.51,20.375,21.385,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$312.00,Alcoa China,,,60,50,$233,$221 ,5%,Ti 6-4,,,,,B&F ,50%,Alcoa 50%,,Leap-1B,,,,,,
20,2463M44P08,1,2463M44P08.000R,"SHRD,CMSTR-S4",1.046,13.981,15.129,17-4PH,AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.),,Carlton Forge,$238.75,GATD,0.7,0.5,70,50,$104,$99 ,5%,17-4PH,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,72.8," $8,008.00 ",$52.00 ,"$5,720.00 ",
34,2474M24G01,1,2474M24G01.002R,"RING,ACTG,STG 1 UPPER",0.48,21.429,22.479,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Firth,$143.20,Alcoa China,,,60,50,$156,$148 ,5%,17-4PH,,,,,B&F ,50%,Alcoa 50%,,LEAP A/C,,,,,,
5,2463M40G01,1,2463M40P02.000R,"SHROUD, IGV",2.81,5.837,10.012,Al,AMS 4132,,Carlton Forge,$317.00,GATD,0.7,0.5,70,50,$108,$103 ,5%,Al,,,,,Sun Country ,50%,50% GATD ,,LEAP A/C,110,75.8926," $8,348.19 ",$54.21 ,"$5,962.99 ",
35,2474M24G02,1,2474M24G02.002R,"RING,ACTG,STG 1 UPPER",0.48,20.631,21.721,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Firth ,$135.90,Alcoa China,,,60,50,$155,$147 ,5%,17-4PH,,,,,B&F ,50%,Alcoa 50%,,LEAP A/C,,,,,,
161,2469M73G01,1,2469M73P01.002R,"NUT, LOCKING - NUMBER 3 BEARINGS",3.174,4.342,5.74,410 Stainless,AMS 5613,,BAR,$139.93,GATD,0,0.5,0,50,$110,$105 ,5%,410 Stainless,,,,,McMellon ,30%,Alcoa 30%,,LEAP A/C,110,0, $-   ,$55.24 ,"$6,075.91 ",
