Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,PO Amended  Y/N?, 2015 RM Delta ,2015 Material Deflation,2015 Material Extended Value,Machine Part Comments,NPI  - Leap/PP,Chip Revert  Part?,,,,,
951-WELLING       ,2462M90G01,"RING,",,Yes,14750-B&F MACHINE                             ,LEAP A/C,32,2462M90P01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M40G01,"SHROUD, COMPRESSOR STATOR - IGV",,Yes,14750-B&F MACHINE                             ,LEAP A/C,32,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M41P01,SHROUD,,Yes,14750-B&F MACHINE                             ,LEAP A/C,46,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M41P02,SHROUD,,Yes,14750-B&F MACHINE                             ,LEAP A/C,69,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M41P03,SHROUD,,Yes,14750-B&F MACHINE                             ,LEAP A/C,46,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M41P04,SHROUD,,Yes,14750-B&F MACHINE                             ,LEAP A/C,69,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M42P01,SHROUD,,Yes,14750-B&F MACHINE                             ,CFM56,,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M42P02,SHROUD,,Yes,14750-B&F MACHINE                             ,CFM56,,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M42P03,SHROUD,,Yes,14750-B&F MACHINE                             ,CFM56,,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M42P04,SHROUD,,Yes,14750-B&F MACHINE                             ,CFM56,,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M42P05,"SHRD,CMSTR-S2",,Yes,14750-B&F MACHINE                             ,LEAP A/C,62,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M42P06,"SHRD,CMSTR-S2",,Yes,14750-B&F MACHINE                             ,LEAP A/C,93,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M42P07,"SHRD,CMSTR-S2",,Yes,14750-B&F MACHINE                             ,LEAP A/C,58,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M42P08,"SHRD,CMSTR-S2",,Yes,14750-B&F MACHINE                             ,LEAP A/C,78,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M43P01,SHROUD,,Yes,14750-B&F MACHINE                             ,CFM56,,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M43P02,SHROUD,,Yes,14750-B&F MACHINE                             ,CFM56,,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M43P03,SHROUD,,Yes,14750-B&F MACHINE                             ,CFM56,,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M43P04,SHROUD,,Yes,14750-B&F MACHINE                             ,LEAP A/C,23,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M43P05,"SHRD,CMSTR-S3",,Yes,14750-B&F MACHINE                             ,LEAP A/C,126,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M43P06,"SHRD,CMSTR-S3",,Yes,14750-B&F MACHINE                             ,LEAP A/C,150,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M44P01,SHROUD,,Yes,14750-B&F MACHINE                             ,CFM56,,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M44P02,SHROUD,,Yes,14750-B&F MACHINE                             ,CFM56,,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M44P03,SHROUD,,Yes,14750-B&F MACHINE                             ,CFM56,,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M44P04,SHROUD,,Yes,14750-B&F MACHINE                             ,CFM56,,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M44P05,"SHRD,CMSTR-S4",,Yes,14750-B&F MACHINE                             ,LEAP A/C,57,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M44P06,"SHRD,CMSTR-S4",,Yes,14750-B&F MACHINE                             ,LEAP A/C,112,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M44P07,"SHRD,CMSTR-S4",,Yes,14750-B&F MACHINE                             ,LEAP A/C,160,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2463M44P08,"SHRD,CMSTR-S4",,Yes,14750-B&F MACHINE                             ,LEAP A/C,24,,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2474M19G01,"RING, ACTUATING - COMPR STATOR, IGV UPPER",1,Yes,14750-B&F MACHINE                             ,Leap-1B,25,2474M19P01,Seamless,PCC,Carlton,1=14,$134.15 ,,NPI, (134.15)," (3,353.75)", -   ,Leap,Yes,,,,,,
951-WELLING       ,2474M21G01,"RING, ACTUATING - COMPR STATOR, IGV LOWER",1,Yes,14750-B&F MACHINE                             ,Leap-1B,25,2474M19P01,Seamless,PCC,Carlton,1=14,$134.15 ,,NPI, (134.15)," (3,353.75)", -   ,Leap,Yes,,,,,,
951-WELLING       ,2474M22G01,"RING, ACTUATING - COMPR STATOR, STG 1 UPPER",1,Yes,14750-B&F MACHINE                             ,Leap-1B,24,2474M22P02,Seamless,PCC,Carlton,1=14,$118.08 ,,NPI, (118.08)," (2,833.92)", -   ,Leap,Yes,,,,,,
951-WELLING       ,2474M22G02,"RING, ACTUATING - COMPR STATOR, STG 2 UPPER",1,Yes,14750-B&F MACHINE                             ,Leap-1B,24,2474M22P02,Seamless,PCC,Carlton,1=14,$118.08 ,,NPI, (118.08)," (2,833.92)", -   ,,Yes,,,,,,
951-WELLING       ,2474M22G03,"RING, ACTUATING - COMPR STATOR, STG 3 UPPER",1,Yes,14750-B&F MACHINE                             ,Leap-1B,24,2474M22P03,Seamless,PCC,Carlton,1=14,$118.15 ,,NPI, (118.15)," (2,835.60)", -   ,,Yes,,,,,,
951-WELLING       ,2474M22G04,"RING, ACTUATING - COMPR STATOR, STG 4 UPPER",1,Yes,14750-B&F MACHINE                             ,Leap-1B,24,2474M22P04,Seamless,PCC,Carlton,1=14,$119.00 ,,NPI, (119.00)," (2,856.00)", -   ,,Yes,,,,,,
951-WELLING       ,2474M23G01,"RING, ACTUATING - COMPR STATOR, STG 1 LOWER",1,Yes,14750-B&F MACHINE                             ,Leap-1B,24,2474M22P01,Seamless,PCC,Carlton,1=14,$123.60 ,,NPI, (123.60)," (2,966.40)", -   ,,Yes,,,,,,
951-WELLING       ,2474M23G02,"RING, ACTUATING - COMPR STATOR, STG 2 LOWER",1,Yes,14750-B&F MACHINE                             ,Leap-1B,24,2474M22P02,Seamless,PCC,Carlton,1=14,$118.08 ,,NPI, (118.08)," (2,833.92)", -   ,,Yes,,,,,,
951-WELLING       ,2474M23G03,"RING, ACTUATING - COMPR STATOR, STG 3 LOWER",1,Yes,14750-B&F MACHINE                             ,Leap-1B,24,2474M22P03,Seamless,PCC,Carlton,1=14,$118.15 ,,NPI, (118.15)," (2,835.60)", -   ,,Yes,,,,,,
951-WELLING       ,2474M23G04,"RING, ACTUATING - COMPR STATOR, STG 4 LOWER",1,Yes,14750-B&F MACHINE                             ,Leap-1B,24,2474M22P04,Seamless,PCC,Carlton,1=14,$119.00 ,,NPI, (119.00)," (2,856.00)", -   ,,Yes,,,,,,
951-WELLING       ,2474M24G01,"RING,",,Yes,14750-B&F MACHINE                             ,LEAP A/C,22,2474M24P01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,LEAP,Yes,,,,,,
951-WELLING       ,2474M24G02,"RING,",,Yes,14750-B&F MACHINE                             ,LEAP A/C,22,2474M24P02,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,LEAP,Yes,,,,,,
951-WELLING       ,2474M24G03,"RING,",,Yes,14750-B&F MACHINE                             ,LEAP A/C,22,2474M24P03,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,LEAP,Yes,,,,,,
951-WELLING       ,2474M24G04,"RING,",,Yes,14750-B&F MACHINE                             ,LEAP A/C,22,2474M24P04,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,LEAP,Yes,,,,,,
951-WELLING       ,2474M25G01,"RING,",,Yes,14750-B&F MACHINE                             ,LEAP A/C,23,2474M24P01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,LEAP,Yes,,,,,,
951-WELLING       ,2474M25G02,"RING,",,Yes,14750-B&F MACHINE                             ,LEAP A/C,22,2474M24P02,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,LEAP,Yes,,,,,,
951-WELLING       ,2474M25G03,"RING,",,Yes,14750-B&F MACHINE                             ,LEAP A/C,23,2474M24P03,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,LEAP,Yes,,,,,,
951-WELLING       ,2474M25G04,"RING,",,Yes,14750-B&F MACHINE                             ,LEAP A/C,22,2474M24P04,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,LEAP,Yes,,,,,,
951-WELLING       ,2484M10G01,"SHROUD, COMPRESSOR STATOR-IGV",,No,14750-B&F MACHINE                             ,GE-PASSPORT,0,2484M10G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2484M11P01,"SHROUD, COMPRESSOR STATOR-STAGE 1",,No,14750-B&F MACHINE                             ,GE-PASSPORT,36,2484M11P01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2484M11P02,"SHROUD, COMPRESSOR STATOR-STAGE 1",,No,14750-B&F MACHINE                             ,GE-PASSPORT,26,2484M11G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2484M11P03,"SHROUD, COMPRESSOR STATOR-STAGE 1",,No,14750-B&F MACHINE                             ,GE-PASSPORT,39,2484M11G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2484M11P04,"SHROUD, COMPRESSOR STATOR-STAGE 1",,No,14750-B&F MACHINE                             ,GE-PASSPORT,26,2484M11G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2484M12P01,"SHROUD, COMPRESSOR STATOR-STAGE 2",,No,14750-B&F MACHINE                             ,GE-PASSPORT,52,2484M12G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2484M12P02,"SHROUD, COMPRESSOR STATOR-STAGE 2",,No,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M12G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,2484M12P03,"SHROUD, COMPRESSOR STATOR-STAGE 2",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,65,2484M12G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M12P04,"SHROUD, COMPRESSOR STATOR-STAGE 2",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M12G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M13P01,"SHROUD, COMPRESSOR STATOR-STAGE 3",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,78,2484M13G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M13P02,"SHROUD, COMPRESSOR STATOR-STAGE 3",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M13G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M13P03,"SHROUD, COMPRESSOR STATOR-STAGE 3",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,39,2484M13G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M13P04,"SHROUD, COMPRESSOR STATOR-STAGE 3",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,39,2484M13G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M14P01,"SHROUD, COMPRESSOR STATOR-STAGE 4",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,65,2484M14G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M14P02,"SHROUD, COMPRESSOR STATOR-STAGE 4",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M14G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M14P03,"SHROUD, COMPRESSOR STATOR-STAGE 4",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,65,2484M14G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M14P04,"SHROUD, COMPRESSOR STATOR-STAGE 4",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M14G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M30G01,RING IGV MACHINING,,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,0,4013733-028P01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M30G02,RING IGV MACHINING,,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,0,4013733-028P01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M31G01,RING S1 MACHINING,,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,4013733-028P02,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M31G02,RING S1 MACHINING,,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,4013733-028P02,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M32G01,RING S2 MACHINING,,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,14,4013733-028P03,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M32G02,RING S2 MACHINING,,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,40123733-028P03,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M33G01,RING S3 MACHINING,,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,4013733-028P04,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M33G02,RING S3 MACHINING,,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,4013733-028P04,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M34G01,RING S4 MACHINING,,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,4013733-028P05,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M34G02,RING S4 MACHINING,,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,4013733-028P05,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M41G01,"CONNECTING LINK, COMPR ACTG RING, STG 1 P20",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,19,2484M41G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M41G02,"CONNECTING LINK, COMPR ACTG RING, STG 1 P20",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M41G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M42G01,"CONNECTING LINK, COMPR ACTG RING, STG 2 P20",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M42G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M42G02,"CONNECTING LINK, COMPR ACTG RING, STG 2 P20",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M42G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M43G01,"CONNECTING LINK, COMPR ACTG RING, STG 3 P20",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M43G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M43G02,"CONNECTING LINK, COMPR ACTG RING, STG 3 P20",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M43G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M44G01,"CONNECTING LINK, COMPR ACTG RING, STG 4 P20",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M44G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
951-WELLING       ,2484M44G02,"CONNECTING LINK, COMPR ACTG RING, STG 4 P20",,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,13,2484M44G01,Seamless,PCC,Carlton,,,,NPI, -   , -   , -   ,Leap,Yes,,,,,,
T64-CHIPMAN       ,9977011-671P02,FAN CASE,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34 ,67,9977011-671P02,Seamless,PCC,Carlton,1=1,$712.58 ,$698.33 ,Yes, (14.25), (954.75)," 46,788.11 ",,,,,,,,
952-NEAL          ,1962M78G02,"HSG,SPRT-#5 BRG",,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,224,1506D14,Seamless,PCC,Carlton,1=1,$712.58 ,$698.00 ,Yes, (14.58)," (3,265.92)"," 156,352.00 ",,,,,,,,
950-CHIPMAN       ,1333M65G01,HALF RING,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,LM2500,88,1333M65P01,Seamless,PCC,CARLTON,1=12,$762.16 ,$746.91 ,Yes, (15.25)," (1,342.00)"," 65,728.08 ",,,,,,,,
332-KLAYER        ,9661M15P04,HPT ADPTR TUBE,,Yes,49162-JET INDUSTRIES                          ,LM2500,239,9661M15P04,Seamless,PCC,Carlton,1=1,$771.01 ,$755.59 ,Yes, (15.42)," (3,685.38)"," 180,586.01 ",,,,,,,,
333-LEADER        ,L47479P02,S1 HPT BLD RET,,Yes,65585-NUMET MACHINING TECHNIQUES              ,LM2500,174,L47479P02,Seamless,PCC,Carlton,1=6,$830.17 ,$813.57 ,Yes, (16.60)," (2,888.40)"," 141,561.18 ",,,,,,,,
332-KLAYER        ,L14423P07,SEAL,,Yes,49162-JET INDUSTRIES                          ,LM2500,0,L14423P07,Seamless,PCC,Carlton,1=1,$856.87 ,$839.73 ,Yes, (17.14), -   , -   ,,,,,,,,
950-CHIPMAN       ,2090M67P02,SHIELD - NUT,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,GE90,20,2090M67P01,Seamless,PCC,CARLTON,1=4,$863.07 ,$845.81 ,Yes, (17.26), (345.20)," 16,916.20 ",,,,,,,,
950-CHIPMAN       ,17A127-913P01,MID RING             .................................,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CT7/ T700,14,17A127-583P01,Seamless,PCC,CARLTON,1=1,$902.02 ,$883.98 ,Yes, (18.04), (252.56)," 12,375.72 ",,,,,,,,
951-WELLING       ,L47731P01,RING,1,Yes,14750-B&F MACHINE                             ,CF6-6,69,TFL47731P01,Seamless,PCC,Carlton,1=5,909.63,$891.44 ,Yes, (18.19)," (1,255.11)"," 61,509.36 ",2016,,,,,,,
443-SHINE         ,L43543P05,"RING,ACT.",,Yes,00763-TURBINE ENGINE COMPONENTS TEXTRON       ,LM,48,L43543P05SR,Seamless,PCC,Carlton,1=1,$943.62 ,$924.75 ,Yes, (18.87), (905.76)," 44,388.00 ",,,,,,,,
951-WELLING       ,5142T10G02,"CASE, COMB",1,No,41847-GROS-ITE                                ,F101/B1B,0,5142T11P01,Seamless,PCC,Carlton,1=1,,,N/A, -   , -   , -   ,,,,,,,,
333-LEADER        ,9977013-653G01,F404 HPTSS KIT,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,8,9977011-212P01,Seamless,PCC,Carlton,1=1,"$1,041.88 ","$1,021.04 ",Yes, (20.84), (166.72)," 8,168.32 ",,,,,,,,
333-LEADER        ,9977013-654G01,LM1600 HPTSS KIT,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,LM1600,7,9977011-212P01,Seamless,PCC,Carlton,1=1,"$1,041.88 ","$1,021.04 ",Yes, (20.84), (145.88)," 7,147.28 ",,,,,,,,
333-LEADER        ,9977013-654G01,LM1600 HPTSS KIT,1,Yes,81749-SPACE-CRAFT MANUFACTURING               ,LM1600,7,9977011-212P01,Seamless,PCC,Carlton,1=1,"$1,041.88 ","$1,021.04 ",Yes, (20.84), (145.88)," 7,147.28 ",,,,,,,,
333-LEADER        ,1292M32P02,"SEAL, AIR-AFT,  CF6-80/LM6000",,Yes,02800-AIRCRAFT PRECISION PRODUCTS             ,CF6-80/LM6000,61,1292M32P02,Seamless,PCC,Carlton,1=1,"$1,088.79 ","$1,067.01 ",Yes, (21.78)," (1,328.58)"," 65,087.61 ",,,,,,,,
333-LEADER        ,9527M71P02,STAGE 1 RETAINER,,Yes,65585-NUMET MACHINING TECHNIQUES              ,F101,30,9527M71P02,Seamless,PCC,Carlton,1=1,"$1,122.43 ","$1,099.98 ",Yes, (22.45), (673.50)," 32,999.40 ",,,,,,,,
950-CHIPMAN       ,5023T64P02,SEAL-TURB ST5,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CF34 ,0,4060T96P04,Seamless,PCC,CARLTON,1=4,$586.22 ,$563.01 ,Yes, (23.21), -   , -   ,,,,,,,,
951-WELLING       ,4022T37P01,COOLING PLATE ST1,1,Yes,14750-B&F MACHINE                             ,T700,8,4011T37P01,Seamless,PCC,Carlton,1=1,"$1,175.54 ","$1,152.03 ",Yes, (23.51), (188.08)," 9,216.24 ",2017,,,,,,,
950-CHIPMAN       ,5023T59P02,SEAL TURBINE,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CF34 ,0,4060T96P02,Seamless,PCC,CARLTON,1=1,$618.28 ,$593.80 ,Yes, (24.48), -   , -   ,,,,,,,,
333-LEADER        ,9977013-246P02,F414 FWD FLANGE,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F414,85,9977013-259P02,Seamless,PCC,Carlton,1=1,"$1,264.95 ","$1,239.65 ",Yes, (25.30)," (2,150.50)"," 105,370.25 ",,,,,,,,
950-CHIPMAN       ,1668M81P02,RTNR.LPTS1,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,F110,140,1668M81P02,Seamless,PCC,CARLTON,1=1,"$1,467.66 ","$1,438.31 ",Yes, (29.35)," (4,109.00)"," 201,363.40 ",,,,,,,,
443-SHINE         ,6039T46G07,DIFFUSER,,Yes,00763-TURBINE ENGINE COMPONENTS TEXTRON       ,CT7,34,3036T82P01,Seamless,PCC,Carlton,1=1,"$1,499.53 ","$1,469.54 ",Yes, (29.99)," (1,019.66)"," 49,964.36 ",,,,,,,,
952-NEAL          ,2479M10G01,FAN SPINNER,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF34 ,40,2032M20P02,Seamless,PCC,Carlton,1=1,"$1,499.00 ","$1,469.00 ",Yes, (30.00)," (1,200.00)"," 58,760.00 ",,,,,,,,
951-WELLING       ,L57300P01,# 1 BEARING HOUSING,1,Yes,14750-B&F MACHINE                             ,Other LM,7,L57300P01,Seamless,PCC,Carlton,1=1,"1,647.35","$1,614.41 ",Yes, (32.94), (230.58)," 11,300.87 ",,,,,,,,
333-LEADER        ,9977013-665G01,F404 LPTC KIT,1,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,4,9977013-408P01,Seamless,PCC,Carlton,1=1,"$2,036.00 ","$1,995.00 ",Yes, (41.00), (164.00)," 7,980.00 ",,,,,,,,
952-NEAL          ,4022T36P03,SEAL,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,T64,46,4011T35P01,Seamless,PCC,Carlton,1=1,"$2,094.00 ","$2,052.00 ",Yes, (42.00)," (1,932.00)"," 94,392.00 ",,,,,,,,
950-CHIPMAN       ,4013382-076P03,"SUPPORT, FWD SEAL",,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,F110/F404/F118,18,4013382-076P03(ref),Seamless,PCC,CARLTON,1=1,"$2,190.87 ","$2,147.05 ",Yes, (43.82), (788.76)," 38,646.90 ",,,,,,,,
T64-CHIPMAN       ,17A137-915P01,L605 RING,,Yes,44278-PARADIGM PRECISION - MEX                ,CFM56,212,17A137-915P01,Seamless,PCC,Carlton,1=9,"$2,192.64 ","$2,148.78 ",Yes, (43.86)," (9,298.32)"," 455,541.36 ",,,,,,,,
333-LEADER        ,6078T62G01,AFT SPINNER,,Yes,62422-BROWN PRECISION INC                     ,CF34 ,58,4013095-622P01,Seamless,PCC,Carlton,1=1,"$2,200.00 ","$2,156.00 ",Yes, (44.00)," (2,552.00)"," 125,048.00 ",,,,,,,,
952-NEAL          ,4013382-149P04,AFT FLANGE,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,0,0,4013382-076p03,Seamless,PCC,Carlton,1=1,"$2,190.00 ","$2,146.00 ",Yes, (44.00), -   , -   ,,,,,,,,
952-NEAL          ,4013382-149P02,"SUPPORT, FWD SEAL",,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,F110-100,68,4013382-076P03,Seamless,PCC,Carlton,1=1,"$2,190.00 ","$2,146.00 ",Yes, (44.00)," (2,992.00)"," 145,928.00 ",,,,,,,,
950-CHIPMAN       ,5023T64P04,"SEAL,TURB-S5&6",,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CF34 ,11,4060T96P04,Seamless,PCC,CARLTON,1=4,"$2,297.98 ","$2,252.02 ",Yes, (45.96), (505.56)," 24,772.22 ",,,,,,,,
