Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,PO Amended  Y/N?, 2015 RM Delta ,2015 Material Deflation,2015 Material Extended Value,Machine Part Comments,NPI  - Leap/PP,Chip Revert  Part?,,,,,
T64-CHIPMAN       ,5099T20G01,"SUPPORT, SHROUD STG 2",,Yes,44278-PARADIGM PRECISION - MEX                ,"CF34, TF34",6,5099T20G01/G03,Flash Welded,PCC,MTTP (TruForm),1=1,$761.48 ,$746.25 ,Yes, (15.23), (91.38)," 4,477.50 ",,,,,,,,
T64-CHIPMAN       ,5099T20G03,STG 2 SHROUD SUPPORT,,Yes,44278-PARADIGM PRECISION - MEX                ,"CF34, TF34",286,5099T20G01/G03,Flash Welded,PCC,MTTP (TruForm),1=1,$761.48 ,$746.25 ,Yes, (15.23)," (4,355.78)"," 213,427.50 ",,,,,,,,
333-LEADER        ,17A166-932P01,AFT FLANGE,,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF34,60,TF17A148-570P01,Flash Welded,PCC,MTTP (TruForm),1=1,$771.25 ,$755.82 ,Yes, (15.43), (925.80)," 45,349.20 ",,,,,,,,
333-LEADER        ,9977013-665G01,F404 LPTC KIT,1,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,4,9977013-556P01,Flash Welded,PCC,MTTP (TruForm),1=1,$780.21 ,$764.60 ,Yes, (15.61), (62.44)," 3,058.40 ",,,,,,,,
333-LEADER        ,9977013-665G02,F404 LPTC KIT,1,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,44,9977012-556P01,Flash Welded,PCC,MTTP (TruForm),1=1,$780.21 ,$764.60 ,Yes, (15.61), (686.84)," 33,642.40 ",,,,,,,,
333-LEADER        ,9977010-255P01,FWD FLANGE,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,53,9977011-490P01,Flash Welded,PCC,MTTP (TruForm),1=1,$798.67 ,$782.70 ,Yes, (15.97), (846.41)," 41,483.10 ",,,,,,,,
952-NEAL          ,1840M48P01,"SEAL,SEG,AIR(GE90)",,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,4,1607D01,Flash Welded,PCC,MTTP (TruForm),1=1,$66.61 ,$50.64 ,Yes, (15.97), (63.88), 202.56 ,,,,,,,,
333-LEADER        ,2002M82P02,"RING,LUG",,Yes,65585-NUMET MACHINING TECHNIQUES              ,CFM56,15,TF2002M82,Flash Welded,PCC,MTTP (TruForm),1=1,$823.21 ,$806.75 ,Yes, (16.46), (246.90)," 12,101.25 ",,,,,,,,
333-LEADER        ,4013196-378P07,AFT INNER HPT NOZZLE SUPPORT,,Yes,02800-AIRCRAFT PRECISION PRODUCTS             ,CFM56,0,4013382-338P03,Flash Welded,PCC,MTTP (TruForm),1=1,$851.64 ,$834.60 ,Yes, (17.04), -   , -   ,,,,,,,,
333-LEADER        ,4013522-337P02,FWD RING MACHINED,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F110-100,214,C31730,Flash Welded,PCC,MTTP (TruForm),1=1,$856.05 ,$838.93 ,Yes, (17.12)," (3,663.68)"," 179,531.02 ",,,,,,,,
333-LEADER        ,2070M57G01,"SUPPORT, NOZZLE",,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF34,61,TF-2070M57G01,Flash Welded,PCC,MTTP (TruForm),1=1,$869.29 ,$851.90 ,Yes, (17.39)," (1,060.79)"," 51,965.90 ",,,,,,,,
951-WELLING       ,1814M25P02,"SHIELD, BOLT",1,Yes,14750-B&F MACHINE                             ,CF6,36,1623D01,Flash Welded,PCC,MTTP (TruForm),1=6,$461.33,$443.06,Yes, (18.27), (657.72)," 15,950.16 ",,,,,,,,
951-WELLING       ,2620M12P01,"SHIELD, BOLT",1,Yes,14750-B&F MACHINE                             ,CF6,0,1623D01,Flash Welded,PCC,MTTP (TruForm),1=6,461.33,$443.06 ,Yes, (18.27), -   , -   ,,,,,,,,
333-LEADER        ,9977013-980P01,"RING, SUPPORT",,Yes,65585-NUMET MACHINING TECHNIQUES              ,LM2500,5,TF-9977008-352,Flash Welded,PCC,MTTP (TruForm),1=1,$941.85 ,$923.02 ,Yes, (18.83), (94.15)," 4,615.10 ",,,,,,,,
T64-CHIPMAN       ,9977013-730P01,SUPPORT RING,,Yes,44278-PARADIGM PRECISION - MEX                ,CF6,17,9977008-352,Flash Welded,PCC,MTTP (TruForm),1=1,$941.85 ,$923.02 ,Yes, (18.83), (320.11)," 15,691.34 ",Chaheng new source,,,,,,,
952-NEAL          ,17A190-730P01,"RING, INNNER",,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF6-6,6,17A190-730P01-B,Flash Welded,PCC,MTTP (TruForm),1=1,$986.00 ,$966.00 ,Yes, (20.00), (120.00)," 5,796.00 ",,,,,,,,
952-NEAL          ,17A190-735P01,INNER RING,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF6,1,17A190-730P01-B,Flash Welded,PCC,MTTP (TruForm),1=1,$986.00 ,$966.00 ,Yes, (20.00), (20.00), 966.00 ,,,,,,,,
T64-CHIPMAN       ,1358M35G02,AFT NOZZ SUPT,,Yes,44278-PARADIGM PRECISION - MEX                ,CFM56,1767,1358M35P01/P04,Flash Welded,PCC,MTTP (TruForm),1=1,"$1,011.95 ",$991.72 ,Yes, (20.23)," (35,746.41)"," 1,752,369.24 ",,,,,,,,
T64-CHIPMAN       ,9082M63G03,AFT SUPPORT,,Yes,44278-PARADIGM PRECISION - MEX                ,CF6,229,9977009-321P01,Flash Welded,PCC,MTTP (TruForm),1=1,"$1,079.94 ","$1,058.34 ",Yes, (21.60)," (4,946.40)"," 242,359.86 ",,,,,,,,
952-NEAL          ,17A190-579P01,"LINER, OUTER",,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CFM56,0,17A190-579P01RM,Flash Welded,PCC,MTTP (TruForm),1=1,"$1,166.00 ","$1,143.00 ",Yes, (23.00), -   , -   ,,,,,,,,
952-NEAL          ,1963M50P01,"SCOOP, OIL, OUTER",,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,10,2337FR01,Flash Welded,PCC,MTTP (TruForm),1=1,"$1,310.00 ","$1,284.00 ",Yes, (26.00), (260.00)," 12,840.00 ",,,,,,,,
