SUPPLIER,GE PART NUMBER,FORGE PART NUMBER,Machining Source,Machining Source,Engine ,WEIGHT,WRP,ALLOY,Mat''l Spec.,2011 $ per part,2012 raw mat'l,2012 Bar cost,2012,2012 $ per part,2013 $ per part,2014 $ per part
Welded Ring,5070T19P06,,Paradigm,,LV-100-5DEV,19.29,,Rene 41,B50TF75 CL-D,"$1,143.14", $37.35 ,$720.48,$422.66,"$1,143.14","$1,123.00","$1,123.00"
Welded Ring,5078T15G01,5078T15P02(REF),Smith West,,T700,13.86,95054,WASP,AMS 5706,$519.03, $30.49 ,$422.59,$150.35,$572.94,$567.00,$567.00
Welded Ring,5099T00G04,RM5099T00,AIDC,Middleton,CF34,43.89,40293,INC 718,B50TF15 CL-D,"$1,335.43", $24.76 ,"$1,086.72",$379.51,"$1,466.23","$1,460.00","$1,460.00"
Welded Ring,5100T97 P02,5100T97 P01,Numet,,T-700,13.4,40393,INC 718,B50TF15 CL-F,$604.80, $19.25 ,$257.95,$346.85,$604.80,$580.00,$580.00
Welded Ring,5100T97 P02,5100T97 P02,Electro Methods,,F-414,14.47,40402,INC 718,B50TF15,$438.91, $21.18 ,$306.47,$160.36,$466.83,$466.00,$466.00
Welded Ring,5101T36P01,TF5101T36P01,Numet,,F414,18.4,40397,INC 718,B50TF15 CL-B,$592.64, $21.18 ,$389.71,$238.44,$628.15,$615.00,$615.00
Welded Ring,5101T49 G03,F1316-1,Steel Tool,,F414,11.2,40380,INC 718,B50TF15 CL-A,$332.00, $22.23 ,$248.98,$116.40,$365.38,$365.00,$365.00
Welded Ring,6019T88 G03,9431-01,Ferrotherm,,CF34,14.77,30196,AMS 5754,AMS 5754,$493.68, $20.29 ,$299.68,$194.00,$493.68,$468.00,$468.00
Welded Ring,6034T30,TF6034T30 P01,Barnes,Ferrotherm,CT7/T700,5.52,23620,L-605,AMS 5759,$371.70, $46.64 ,$257.45,$116.40,$373.85,$358.00,$358.00
Welded Ring,6038T33 G02,F1374-1,Steel Tool,,CT7/T700,11.04,30224,HAST X,AMS 5754,$317.12, $22.07 ,$243.65,$93.12,$336.77,$317.00,$317.00
Welded Ring,6038T35G02,F1329-1,Steel Tool,,CT7/T700,10.8,30164,HAST X,AMS 5754,$313.71, $22.07 ,$238.36,$94.58,$332.94,$317.00,$317.00
Welded Ring,6039T61P04,,KERNS,,CT7/T700,12.4,40365,INC 718,B50TF15 CL-A,$366.71, $23.00 ,$285.20,$118.34,$403.54,$412.00,$412.00
Welded Ring,6041T41P02,,KERNS,,J85,11.4,,L 605,AMS 5759,$672.75, $46.25 ,$527.25,$145.50,$672.75,$672.00,$672.00
Welded Ring,6041T80,TF6041T80,Ferrotherm,,J85,8.88,30015,HAST X,AMS 5754,$296.58, $22.07 ,$195.98,$116.40,$312.38,$296.00,$296.00
Welded Ring,6083T13G05,6077T92P03,Barnes,,CFE738,9.25,95069,WASP,AMS 5707,$389.73, $30.48 ,$281.94,$126.10,$408.04,$400.00,$400.00
Welded Ring,7000M37 G03,9580-01,Ferrotherm,,J79,23.07,30186,HAST X,AMS 5754,$703.75, $22.07 ,$509.15,$235.66,$744.81,$703.00,$703.00
Welded Ring,9021M47P03,4013542-804P01,APPI,,CF6,77.08,40377,INC 718,B50TF15 CL-B,"$2,789.50", $21.76 ,"$1,677.26","$1,261.00","$2,938.26","$2,900.00","$2,900.00"
Welded Ring,9198M81 G05,6006-01A,Ferrotherm,,CF6-50,35.96,30246,HAST X,B50TF15 CL-A,"$1,117.63", $22.22 ,$799.03,$388.00,"$1,187.03","$1,117.00","$1,117.00"
Welded Ring,9299M60G07,,Smiths W-B,,CF6,46.11,,INC 718,B50TF15 CL-B,"$1,326.41", $21.96 ,"$1,012.58",$402.83,"$1,415.41","$1,415.00","$1,415.00"
Welded Ring,9299M60G08,,Smiths W-B,,CF6,46.11,,INC 718,B50TF15 CL-B,"$1,326.41", $21.96 ,"$1,012.58",$402.83,"$1,415.41","$1,415.00","$1,415.00"
Welded Ring,9311M28 G05,9311M28 P19-1,Columbia,,LM2500,29,30209,HAST X,AMS 5754,$925.99, $22.82 ,$661.78,$315.25,$977.03,$925.00,$925.00
Welded Ring,9693M20 G11,9693M20 P18,KERNS,,LM2500,23.54,40405,INC 718,B50TF15 CL-A,$704.69, $23.00 ,$541.42,$233.18,$774.60,$770.00,$770.00
Welded Ring,9693M20 G11,9693M20 P27,KERNS,,LM2500,15.39,40404,INC 718,B50TF15 CL-A,$469.52, $23.00 ,$353.97,$161.26,$515.23,$510.00,$510.00
Welded Ring,9693M20 G11,9693M20 P28,KERNS,,LM2500,20.33,40406,INC 718,B50TF15 CL-A,$614.06, $23.00 ,$467.59,$206.85,$674.44,$670.00,$670.00
Welded Ring,9899556-816P101,9899556-816SR,SAC-Asheville,,J85,6.22,23638,L 605,AMS 5759,$395.35, $46.25 ,$287.68,$107.67,$395.35,$395.00,$395.00
Welded Ring,9899556-837P01,TF9899556-837P01,Numet,,TF34,19.45,23614,L 605,AMS 5759,"$1,211.90", $46.25 ,$899.56,$312.34,"$1,211.90","$1,200.00","$1,200.00"
Welded Ring,9977007-957,9977000P347,B&F,,TF34,7.39,30140,HAST X,AMS 5754,$275.59, $26.34 ,$194.65,$94.09,$288.74,$280.00,$280.00
Welded Ring,9977008-076P01,9977000-606P393,Sun Country,,LM2500,23.86,40054,INC 718,B50TF15 CL-A,$701.81, $21.18 ,$505.35,$242.50,$747.85,$747.00,$747.00
Welded Ring,9977010-975,,Smiths W-B,,T700,7.05,40145,INC 718,B50TF15 CL-A,$220.24, $21.18 ,$149.32,$84.53,$233.85,$233.00,$233.00
Welded Ring,9977013-126P01,9977013-147P01,SpaceCraft,,F404,21.57,40230,INC 718,B50TF15 CL-A,$598.98, $22.18 ,$478.42,$162.19,$640.61,$640.00,$640.00
Welded Ring,9977013-179P01,9977013-179P01,GE - Direct,,CFM56,21.42,93005,909,C50TF95 CL-A,$980.61, $27.47 ,$588.41,$418.33,"$1,006.74","$1,006.00","$1,006.00"
Welded Ring,9977013-485/486G01,9977013-205P01 9977013-224P01,Smith West,,CFM56,28.82,40178,INC 718,B50TF15 CL-A,$844.01, $23.00 ,$662.86,$266.75,$929.61,$929.00,$929.00
