Item #,LTA,Site,2011 Defla-tion,2012 Defla-tion,2013 Defla-tion,2014 Defla-tion,2015 Defla-tion,2016 Defla-tion,2017 Defla-tion,Alloy Family,Alloy,Spec,Billet Dia.,Engine Program,GE P/N,Forging P/N,FR Site P/N,Alternate P/N,Nomenclature,Machining Source #1,Machining Source #2,Machining Source #3,Singles per Sleeve,Segments per Single, 2011 Price per Part ,2012 Price per Part,2013 Price per Part,2014 Price per Part,2015 Price per Part,2016 Price per Part,2017 Price per Part,Comments
222,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,R41,B50TF110,9.5,GE90-94B,1841M41P01,1739D01,,,,Barnes,,,,, $839 ,$809.53,$781.20,$765.57,$750.26,$735.26,$720.55,
223,Base - 1,FRV,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4 CHM,C50TF12I,10,GE90-94B,1845M64P01,4013399-495P01,,,,XAE,,,,," $19,049 ","$18,286.83","$17,555.35","$17,204.25","$16,860.16","$16,522.96","$16,192.50",
227,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,A286,AMS 5731,6,CF6/LMS100,1856M45P01,0,,,,APPI,,,,, $587 ,$583.90,$580.98,$569.36,$557.97,$546.81,$535.88,
228,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,X750,AMS 5668,6,CF6,1862M54P02,T00122-01P,1212237,,,TEI,,,,, $797 ,$769.16,$742.24,$727.39,$712.84,$698.59,$684.62,
229,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,R41,B50TF75,9.5,F110,1864M40G01,4013382-297P01,,,,TEI,,,,," $3,052 ","$2,944.83","$2,841.76","$2,784.93","$2,729.23","$2,674.64","$2,621.15",
232,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,15.5PH,AMS 5659,4,GE90-94B/115B,1865M36P01,1865M36P01,1212907,,,Jet Industries,,,,, $304 ,$302.25,$300.74,$294.73,$288.83,$283.05,$277.39,
236,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,12,GE90-94B,1865M40P01,TF1865M40P01,,,,UEC-Asheville,,,,," $3,443 ","$3,322.61","$3,206.32","$3,142.20","$3,079.35","$3,017.77","$2,957.41",
239,Base - 1,FRC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718TM,C50TF104,6,CF34-10,1865M59P01,1865M58P01,GE-1865M58P01,,,XAE,,,,," $1,378 ","$1,329.41","$1,282.88","$1,257.22","$1,232.08","$1,207.44","$1,183.29",
245,Base - 1,SFC,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2618,AMS 4312,8,GE90-94B,1960M43G01,1960M43P01,,,,B&F,,,,, $700 ,$696.09,$692.61,$678.75,$665.18,$651.88,$638.84,
247,Base - 1,FRC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,6,GE90-115B,1962M75P02,1962M75P02,GE-1962M75P02,1128,,UEC-Suzhou,Liming,,,," $1,572 ","$1,517.12","$1,464.02","$1,434.74","$1,406.04","$1,377.92","$1,350.36",
248,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,7,GE90-115B,1962M76P01,2298D01,1051359,,,Barnes-Windsor,UEC-Poland,,,, $342 ,$340.22,$338.52,$331.75,$325.11,$318.61,$312.24,
251,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,AMS 5662,4,GE90-94B/115B,1962M78G02/1694M99G03,1506D15 / 1837M14P02,,,,Barnes,FAST,,,, $375 ,$361.80,$349.14,$342.15,$335.31,$328.60,$322.03,
252,Base - 1,FRC,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,7,GE90-115B,1962M98P01,4013522-343P01,,,,Shenyang Liming,,,,, $481 ,$478.99,$463.00,$453.74,$444.67,$435.77,$427.06,GE requested transfer from FRM to FRC by 1/2013-reduced VA by 5% per MOA
253,Base - 1,SFC,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,AMS 4928,12,GE90-115B,1963M10P02,2437D01,,,,Barnes,UEC Asheville,,,," $2,536 ","$2,434.15","$2,336.78","$2,290.05","$2,244.25","$2,199.36","$2,155.38",
254,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,7,GE90-115B,1963M11P01,1963M11P01,1050329,,,Jet Industries,,,,, $470 ,$467.77,$465.43,$456.13,$447.00,$438.06,$429.30,
255,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4,GE90-115B,1963M15P01,1963M15P01,1050425,,,Jet Industries,Reliable,,,, $128 ,$127.30,$126.66,$124.13,$121.64,$119.21,$116.83,
256,Base - 1,FRC,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,7,GE90-115B,1963M16P01,1963M16P01,,,,Shenyang Liming,,,,, $408 ,$406.12,$388.00,$380.24,$372.64,$365.18,$357.88,GE requested transfer from FRM to FRC by 1/2013-reduced VA by 5% per MOA
