Part Number,Nomenclature,Qty/Parent,Parent PN,Qty/Grand_Parent,Parent Nomen,QPE
9299M76P05,"RING, DAMPENI",1,L43784G01,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G02,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G03,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G04,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G05,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G06,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G07,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G08,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G09,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G10,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G11,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G12,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G13,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G14,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G15,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G16,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G17,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G18,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G19,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G20,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G21,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G22,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G23,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G24,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L43784G25,1,"ASSY,COMP ROTOR",1
9299M76P05,"RING, DAMPENI",1,L57041G01,1,HPC ROTOR ASSY,1
9299M76P05,"RING, DAMPENI",1,L57041G02,1,HPC ROTOR ASSY,1
9299M76P05,"RING, DAMPENI",1,L57041G03,1,HPC ROTOR ASSY,1
9299M76P05,"RING, DAMPENI",1,L57041G04,1,HPC ROTOR ASSY,1
1840M79P01,"STIFFENER,INNER",12,1650M58G01,1,"FR ASSY,TURB",12
1840M79P01,"STIFFENER,INNER",12,1650M58G02,1,"FR ASSY,TURB",12
