Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,Comments
,2366M94P01,,0.1,Yes,89382-TEI,GenX,,T020267-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.40,"$3,081.43 ","$3,019.80 ",special calculation
,2370M26P01,,1,Yes,89382-TEI,GenX,,T100014-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,$613.00 ,$600.74 ,
,9346M79G05,,1,Yes,89382-TEI,CF6/LM2500,,9346M79p05,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,$238.00 ,$233.24 ,duplicate material call out. 
,1387M98P05,,1,Yes,89382-TEI,F110-129,,4013337-101P02,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$3,640.63 ","$3,567.82 ",2015 only
,1711M62G10,,1,Yes,89382-TEI,GE90,,4013382-914P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$9,804.37 ","$9,608.28 ",
,1711M62G10,,0.25,Yes,89382-TEI,GE90,,4013382-913P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.25,"$2,006.29 ","$1,966.16 ",
,1711M62G11,,1,Yes,89382-TEI,GE90,,4013382-914P02,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$9,804.37 ","$9,608.28 ",
,1711M62G11,,0.25,Yes,89382-TEI,GE90,,4013382-913P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.25,"$2,006.29 ","$1,966.16 ",
,1796M29P01,,1,Yes,89382-TEI,F110-100,,4013337-101P02,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$3,640.63 ","$3,567.82 ",
,1864M40G01,,1,Yes,89382-TEI,F110-100,,4013382-297P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$2,784.92 ","$2,729.23 ",
,2136M60G01,,1,Yes,89382-TEI,GP7200,,T100017-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$32,404.48 ","$31,756.39 ",
,2302M90G04,,1,Yes,89382-TEI,GenX,,4013522-436P03,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$29,712.62 ","$29,118.37 ",
,2488M07P01,,1,Yes,89382-TEI,F110-100,,2488M06P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$4,052.00 ","$3,970.96 ",
,4013732-110G01,,1,Yes,89382-TEI,#N/A,,4013522-436P03,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$29,712.62 ","$29,118.37 ",
,L38770P01,,1,Yes,89382-TEI,LM6000,,L38774P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$11,334.44 ","$11,107.76 ",
,L59010G02,,2,Yes,89382-TEI,LMS100,,L59006P02,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$22,521.14 ","$22,070.72 ",part terminated
,2302M40G01,,1,Yes,89382-TEI,GenX,,4013536-295P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,$497.00 ,$487.06 ,
,1364M37G02,,1,Yes,89382-TEI,F110-129,,4013287-635P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$7,812.04 ","$7,655.80 ",2015 only
,2302M37P02,,1,Yes,89382-TEI,GenX,,T020258-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$14,180.00 ","$13,896.40 ",
,2302M40G01,,1,Yes,89382-TEI,GenX,,4013703-931P02,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$15,358.00 ","$15,050.84 ",
,2335M97P02,,1,Yes,89382-TEI,GenX,,T020250-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$12,822.00 ","$12,565.56 ",
,2444M11G01,,1,Yes,89382-TEI,GenX,,T100006-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$2,166.30 ","$2,122.97 ",
,2444M12G01,,1,Yes,89382-TEI,GenX,,T100006-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$2,166.30 ","$2,122.97 ",
,2464M45G02,,1,Yes,89382-TEI,GenX,,T110044-01,Forging_Ring_R,Frisa,Frisa,1.00,"$4,123.00 ",#N/A,tei negotiated at frisa. Same as b and f
,1748M44P02,,1,Yes,89382-TEI,#N/A,,4013437-204P01,Forging_Ring_Welded_W,Welded_Ring,Welded_Ring,1.00,"$5,671.00 ","$5,671.00 ",
,1441M37G05,,1,Yes,89382-TEI,F110-129,,4013081-600P08,Forging_Ring_Welded_W,PCC,PCC,1.00,"$5,296.84 ","$5,190.90 ",
,1711M62G10,,1,Yes,89382-TEI,GE90,,4013382-912P01,Forging_Ring_Welded_W,PCC,PCC,1.00,"$2,978.62 ","$2,919.05 ",
,1711M62G11,,1,Yes,89382-TEI,GE90,,4013382-912P01,Forging_Ring_Welded_W,PCC,PCC,1.00,"$2,978.62 ","$2,919.05 ",
