ID,Part Number,Nomenclature ,QPA,QPE,GE NEG,Finished Part Supplier ,Engine Program,Engine Model,2015 QTY,Part Type,RM-Type,R/M Supplier,Plant,Yield ,Billet Diameter,Weight,Weight Type,Alloy,Spec,Flash Welding Permitted?,"Extend, Remove, or Negotiate?", R/M Unit Price 2014 , R/M Unit Price 2015 ,PO Amended  Y/N?, 2015 RM Delta , 2015 Material Deflation , 2015 Material Extended Value ,Machine Part Comments,NPI  - Leap/PP,Chip Revert  Part?,Alloy Family
68,9977013-665G01,F404 LPTC KIT,1,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,,4,9977013-555P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,98.4,0,903,B50TF151,,, $759.98 , $744.78 ,Yes, $(15.20), $(60.80)," $2,979.12 ",,,,Ni
69,9977013-665G02,F404 LPTC KIT,1,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,,44,9977012-555P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,25.5,0,I-718,0,,, $759.98 , $744.78 ,Yes, $(15.20), $(668.80)," $32,770.32 ",,,,0
70,5099T20G01,"SUPPORT, SHROUD STG 2",1,1,Yes,44278-PARADIGM PRECISION - MEX                ,"CF34, TF34",,6,5099T20G01/G03,Flash Welded,PCC,MTTP (TruForm),1=1,0,0,0,0,0,,, $761.48 , $746.25 ,Yes, $(15.23), $(91.38)," $4,477.50 ",,,,0
71,5099T20G03,STG 2 SHROUD SUPPORT,1,1,Yes,44278-PARADIGM PRECISION - MEX                ,"CF34, TF34",,286,5099T20G01/G03,Flash Welded,PCC,MTTP (TruForm),1=1,0,0,0,0,0,,, $761.48 , $746.25 ,Yes, $(15.23)," $(4,355.78)"," $213,427.50 ",,,,0
72,17A166-932P01,AFT FLANGE,,,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF34,,60,TF17A148-570P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,18.2,0,I-625,0,,, $771.25 , $755.82 ,Yes, $(15.43), $(925.80)," $45,349.20 ",,,,0
73,9977013-665G01,F404 LPTC KIT,1,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,,4,9977013-556P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,98.4,0,903,B50TF151,,, $780.21 , $764.60 ,Yes, $(15.61), $(62.44)," $3,058.40 ",,,,Ni
74,9977013-665G02,F404 LPTC KIT,1,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,,44,9977012-556P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,0,0,0,0,,, $780.21 , $764.60 ,Yes, $(15.61), $(686.84)," $33,642.40 ",,,,0
75,9977010-255P01,FWD FLANGE,,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,,53,9977011-490P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,0,0,0,0,,, $798.67 , $782.70 ,Yes, $(15.97), $(846.41)," $41,483.10 ",,,,0
76,1840M48P01,"SEAL,SEG,AIR(GE90)",12,12,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,,4,1607D01,Flash Welded,PCC,MTTP (TruForm),1=1,0,0,0,0,0,,, $66.61 , $50.64 ,Yes, $(15.97), $(63.88), $202.56 ,,,,0
77,2002M82P02,"RING,LUG",1,1,Yes,65585-NUMET MACHINING TECHNIQUES              ,CFM56,,15,TF2002M82,Flash Welded,PCC,MTTP (TruForm),1=1,0,26.7,Bar,I-718,0,,, $823.21 , $806.75 ,Yes, $(16.46), $(246.90)," $12,101.25 ",,,,0
78,4013196-378P07,AFT INNER HPT NOZZLE SUPPORT,,,Yes,02800-AIRCRAFT PRECISION PRODUCTS             ,CFM56,,0,4013382-338P03,Flash Welded,PCC,MTTP (TruForm),1=1,0,14.7,0,I-909 ,0,,, $851.64 , $834.60 ,Yes, $(17.04), $-   , $-   ,,,,0
79,4013522-337P02,FWD RING MACHINED,,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F110-100,,214,C31730,Flash Welded,PCC,MTTP (TruForm),1=1,0,17.8,Bar,I-909,C50TF95,,, $856.05 , $838.93 ,Yes, $(17.12)," $(3,663.68)"," $179,531.02 ",,,,0
80,2070M57G01,"SUPPORT, NOZZLE",1,1,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF34,,61,TF-2070M57G01,Flash Welded,PCC,MTTP (TruForm),1=1,0,30.2,Bar ,Waspaloy,0,,, $869.29 , $851.90 ,Yes, $(17.39)," $(1,060.79)"," $51,965.90 ",,,,0
81,1814M25P02,"SHIELD, BOLT",1,1,Yes,14750-B&F MACHINE                             ,CF6,,36,1623D01,Flash Welded,PCC,MTTP (TruForm),1=6,0,78.9,Bar,I-718,0,,, $461.33 , $443.06 ,Yes, $(18.27), $(657.72)," $15,950.16 ",,,,0
82,2620M12P01,"SHIELD, BOLT",1,,Yes,14750-B&F MACHINE                             ,CF6,,0,1623D01,Flash Welded,PCC,MTTP (TruForm),1=6,0,0,0,0,0,,, $461.33 , $443.06 ,Yes, $(18.27), $-   , $-   ,,,,0
83,9977013-980P01,"RING, SUPPORT",,,Yes,65585-NUMET MACHINING TECHNIQUES              ,LM2500,,5,TF-9977008-352,Flash Welded,PCC,MTTP (TruForm),1=1,0,0,0,0,0,,, $941.85 , $923.02 ,Yes, $(18.83), $(94.15)," $4,615.10 ",,,,0
